NCBI_ID	Rank	Parent_NCBI_ID	Parent_name	Parent_rank
1071757	strain	813	Chlamydia trachomatis	species
1071756	strain	813	Chlamydia trachomatis	species
1071755	strain	813	Chlamydia trachomatis	species
1071754	strain	813	Chlamydia trachomatis	species
1071753	strain	813	Chlamydia trachomatis	species
1071400	strain	1581	Lentilactobacillus buchneri	species
1071390	species	469	Acinetobacter	genus
1071080	species	1386	Bacillus	genus
1071079	species	1386	Bacillus	genus
1071078	species	1386	Bacillus	genus
1071	species	1070	Rhodopila	genus
1070314	genus	3064797	Haladaptataceae	family
1070130	species	1906661	Candidatus Gullanella	genus
1070	genus	433	Acetobacteraceae	family
107	genus	89373	Cytophagaceae	family
1069827	species	1637	Listeria	genus
1069642	strain	959	Bdellovibrio bacteriovorus	species
1069534	strain	1623	Ligilactobacillus ruminis	species
1069533	strain	102684	Streptococcus infantarius	species
1069494	genus	2049	Actinomycetaceae	family
1069448	strain	427918	Nitriliruptor alkaliphilus	species
1069083	strain	667126	Methanocaldococcus villosus	species
1069082	strain	437163	Halomicrobium katesii	species
1069081	strain	269259	Nitratiruptor tergarcus	species
1069080	strain	78120	Succinispira mobilis	species
1069073	species	1425377	Haloechinothrix	genus
1069	species	1068	Rhodomicrobium	genus
1068980	strain	381445	Amycolatopsis nigrescens	species
1068979	strain	84480	Amycolatopsis thermoflava	species
1068978	strain	1814	Amycolatopsis methanolica	species
1068975	strain	82116	Acetobacterium dehalogenans	species
1068	genus	45401	Hyphomicrobiaceae	family
